GeneID	Length	Ngfr-N-1
497097	3634	20
100503874	3259	2
100038431	1634	0
19888	9747	96
20671	3130	0
27395	4203	620
18777	2433	1327
100503730	799	1
21399	2847	685
58175	2241	22
108664	1976	2292
18387	4707	0
226304	3692	0
12421	7046	2492
620393	858	0
240690	6161	137
319263	5232	2075
71096	4193	0
59014	2048	457
76187	3139	38
72481	1246	10
76982	3187	3
17864	3564	57
70675	5179	1317
73331	1494	3
170755	5622	762
620986	451	95
240697	2553	3
73824	407	147
266793	74	1
100038398	2646	128
100039596	501	16
69312	1502	36
26754	1240	1761
211660	4354	1158
211673	7042	5790
329093	1930	0
109294	11187	3
320492	8293	29
329096	3200	0
240725	4864	566
240726	8512	10
383491	2593	1
17978	8213	1976
72265	2888	4523
212442	1889	665
381246	1926	1
433273	1245	1
14048	4345	2547
17681	1717	13
277328	4263	0
98741	5309	44
21749	1633	903
226866	2748	5
665434	572	1
75799	717	53
19989	934	6588
98711	2295	4993
29819	2890	338
66799	2354	971
67923	955	862
329101	2788	0
70397	1732	725
17087	603	204
57339	4809	136
14545	3938	19
94227	6923	7
83691	4006	0
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	21
75028	786	0
387202	73	0
723817	119	0
16171	1171	10
257630	1178	3
17215	2886	331
77741	1120	6
74229	4420	886
71877	2208	449
170829	1409	20
75712	1112	104
14859	1450	31358
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	7
116837	4066	6
66755	1781	0
387225	71	0
723964	84	3
70155	4844	551
100503399	1522	0
280645	4362	32
98366	2259	789
68002	667	271
68187	6467	854
12839	3888	1
12823	10542	4
68421	5392	2162
210933	5522	7
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	50
210962	2882	0
623924	306	0
791350	1160	1
213109	7561	4576
19243	4129	4064
70988	1094	66
266744	1903	1
74708	1449	0
226957	914	0
624262	762	0
170771	1359	1
408192	1437	0
408191	3748	0
19076	1937	208
67503	889	12
19335	4487	482
213539	1815	1037
98403	3650	630
433287	3016	169
320705	2292	5
13518	23242	3223
100628580	79	1
69668	1705	430
27993	2249	841
52318	3559	258
19253	1578	2273
21755	1246	0
12627	1038	21
21756	1301	0
211383	4356	2
241051	2676	0
226970	2714	292
214469	5080	3738
226971	5469	5318
50785	3719	1696
320011	9029	3154
214854	2583	154
214855	5699	923
226976	4663	1776
214895	2225	1078
94220	4582	859
94218	5283	799
78321	1954	190
109346	1786	167
20353	3805	789
381337	2577	2
12859	569	710
226977	2077	2100
71166	1127	3
22637	2180	50
56030	6548	3143
70853	4422	119
12790	3498	1
269180	6817	497
76178	3862	1841
67387	1412	1202
269181	7054	3862
77633	2755	11
100861893	736	0
72097	4361	3577
100503734	2218	1
211484	3400	309
623661	1555	110
69028	1229	695
107734	691	970
332427	2564	0
69541	798	0
98258	4596	1609
226982	7797	3859
56210	4262	478
16764	6010	76
381338	5077	5
98388	3120	12
100503760	2386	1
433292	1001	0
68833	1706	1347
18143	4180	2421
114641	1254	175
54610	4440	1287
52846	3170	958
100217461	94	3
67702	2434	1381
263764	5799	9
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	1676
100047133	858	3
16178	1343	93
16177	5035	1586
107527	1950	756
17082	6967	16
16182	4781	3368
16174	2487	44
110895	3822	930
226999	3493	184
211798	3152	484
381339	1096	0
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	539
93690	3860	0
73122	5538	1706
98404	3457	604
14200	1563	356
666642	647	3
17974	2775	1030
100861934	1421	12
78896	888	12
67883	1263	411
100503192	585	389
22019	4649	2692
433294	1086	1
75623	1265	155
72050	2324	402
246229	3571	611
22592	4010	672
100861960	766	0
403183	3181	0
70676	2976	141
75066	906	2
12825	5564	722
12832	6615	66
73674	2612	1008
433297	641	582
53945	3380	233
100042453	717	0
212225	3483	2
227058	12318	293
100101919	12384	220
227059	4961	994
442837	542	0
56363	3339	3
442821	2552	4
20324	3055	2732
109019	2838	1118
100045066	3051	7
17912	5042	2572
20849	2981	38
100042634	432	2
20846	5356	3403
14660	7488	2526
17936	5088	2376
227094	3394	496
98682	5591	4366
16329	1776	396
227095	1704	1146
67080	834	20
17700	2682	27
69397	627	0
227099	3032	125
227102	1846	589
72085	2283	210
70396	2362	915
627872	12272	67
98267	3278	679
329152	11336	8
78016	3807	54
98488	3005	544
241062	10579	292
329154	6140	405
81898	6192	10582
67876	1733	1488
15510	2332	2873
15528	768	813
19070	2826	1638
74013	3677	10
212679	2882	161
75388	1258	0
227120	6555	17
626009	1369	183
329159	1906	0
71066	1408	0
212712	5286	84
329160	3728	16
407809	3304	0
75323	2052	4
73467	3008	180
68736	1442	231
68115	1325	356
67198	4045	2364
51960	2733	280
68549	5416	147
11761	4382	2385
71724	4360	31261
71872	4973	16
213043	4776	3
66882	2833	4730
12747	3088	5570
70225	1630	373
65102	2105	599
18393	3371	665
100504455	2126	2
213056	8695	805
66495	532	979
100504501	936	50
108812	1579	11
12633	7814	1791
12370	2777	843
70827	6240	1320
227154	2318	394
73463	2131	0
381259	1972	229
227157	3087	7
74018	7038	786
271697	1477	0
14369	4809	427
381260	3595	320
22218	1215	1428
55989	1976	1516
100217459	53	0
100217421	63	0
12168	3507	822
100504533	314	98
72750	5532	1234
70375	3650	17
57750	3376	267
241066	2604	153
100504573	431	58
269198	12108	1566
77951	1501	534
329165	5974	824
77300	9117	544
100043027	207	7
100042533	791	0
12487	4317	26
100504618	845	0
12477	1931	23
54167	3254	42
77341	892	0
72823	8392	587
18187	8122	111
74992	895	0
227195	13529	1801
100380944	1802	36
100504668	1301	13
227197	2927	2441
55949	1933	6132
100217464	113	24
241070	1606	1
73884	12621	29
23792	6879	5
241073	2427	8
76668	1711	129
75619	3205	510
74426	1756	4
433315	1432	0
93691	1344	154
12912	8421	1713
67099	2666	405
69941	713	6
227210	2927	330
14367	6914	822
241075	8562	461
70861	1353	0
