GeneID	Length	Ngfr-N-2
497097	3634	24
100503874	3259	1
100038431	1634	0
19888	9747	109
20671	3130	0
27395	4203	566
18777	2433	1168
100503730	799	3
21399	2847	665
58175	2241	20
108664	1976	2295
18387	4707	0
226304	3692	4
12421	7046	2376
620393	858	0
240690	6161	97
319263	5232	1801
71096	4193	0
59014	2048	569
76187	3139	41
72481	1246	3
76982	3187	0
17864	3564	46
70675	5179	1320
73331	1494	2
170755	5622	792
620986	451	78
240697	2553	5
73824	407	144
266793	74	0
100038398	2646	124
100039596	501	24
69312	1502	54
26754	1240	1696
211660	4354	1334
211673	7042	5560
329093	1930	0
109294	11187	12
320492	8293	40
329096	3200	0
240725	4864	539
240726	8512	9
383491	2593	0
17978	8213	2311
72265	2888	3866
212442	1889	597
381246	1926	0
433273	1245	0
14048	4345	2404
17681	1717	15
277328	4263	0
98741	5309	44
21749	1633	884
226866	2748	9
665434	572	0
75799	717	71
19989	934	5905
98711	2295	4364
29819	2890	352
66799	2354	954
67923	955	859
329101	2788	2
70397	1732	710
17087	603	211
57339	4809	93
14545	3938	18
94227	6923	1
83691	4006	0
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	26
75028	786	0
387202	73	0
723817	119	0
16171	1171	9
257630	1178	1
17215	2886	267
77741	1120	2
74229	4420	822
71877	2208	746
170829	1409	29
75712	1112	93
14859	1450	26282
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	5
116837	4066	3
66755	1781	0
387225	71	1
723964	84	0
70155	4844	458
100503399	1522	0
280645	4362	44
98366	2259	788
68002	667	265
68187	6467	889
12839	3888	3
12823	10542	1
68421	5392	2039
210933	5522	4
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	47
210962	2882	0
623924	306	0
791350	1160	2
213109	7561	4953
19243	4129	4464
70988	1094	59
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	171
67503	889	9
19335	4487	513
213539	1815	1143
98403	3650	628
