GeneID	Length	CD24-L-5
497097	3634	1
100503874	3259	2
100038431	1634	0
19888	9747	36
20671	3130	97
27395	4203	183
18777	2433	333
100503730	799	0
21399	2847	214
58175	2241	2
108664	1976	746
18387	4707	0
226304	3692	0
12421	7046	740
620393	858	8
240690	6161	1
319263	5232	771
71096	4193	0
59014	2048	138
76187	3139	134
72481	1246	8
76982	3187	0
17864	3564	13
70675	5179	300
73331	1494	0
170755	5622	130
620986	451	21
240697	2553	2
73824	407	122
266793	74	7
100038398	2646	13
100039596	501	1
69312	1502	23
26754	1240	582
211660	4354	537
211673	7042	1490
329093	1930	0
109294	11187	393
320492	8293	53
329096	3200	0
240725	4864	117
240726	8512	5
383491	2593	0
17978	8213	591
72265	2888	1506
212442	1889	267
381246	1926	0
433273	1245	2
14048	4345	303
17681	1717	20
277328	4263	0
98741	5309	5
21749	1633	239
226866	2748	12
665434	572	0
75799	717	10
19989	934	3515
98711	2295	1024
29819	2890	89
66799	2354	325
67923	955	395
329101	2788	0
70397	1732	249
17087	603	42
57339	4809	54
14545	3938	2
94227	6923	35
83691	4006	5
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	42
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	84
77741	1120	10
74229	4420	262
71877	2208	187
170829	1409	7
75712	1112	42
14859	1450	6465
241041	1148	35
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	8
116837	4066	0
66755	1781	0
387225	71	1
723964	84	2
70155	4844	88
100503399	1522	0
280645	4362	38
98366	2259	182
68002	667	82
68187	6467	357
12839	3888	0
12823	10542	0
68421	5392	772
210933	5522	2
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	36
210962	2882	0
623924	306	0
791350	1160	3
213109	7561	1205
19243	4129	1830
70988	1094	9
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	80
67503	889	3
19335	4487	106
213539	1815	147
98403	3650	214
433287	3016	47
320705	2292	9
13518	23242	2193
100628580	79	0
69668	1705	154
27993	2249	213
52318	3559	73
19253	1578	642
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	48
214469	5080	1394
226971	5469	724
50785	3719	608
320011	9029	747
214854	2583	141
214855	5699	767
226976	4663	865
214895	2225	368
94220	4582	173
94218	5283	238
78321	1954	136
109346	1786	78
20353	3805	322
381337	2577	5
12859	569	220
226977	2077	614
71166	1127	1
22637	2180	39
56030	6548	744
70853	4422	68
12790	3498	0
269180	6817	369
76178	3862	492
67387	1412	398
269181	7054	490
77633	2755	4
100861893	736	0
72097	4361	878
100503734	2218	0
211484	3400	87
623661	1555	36
69028	1229	186
107734	691	344
332427	2564	0
69541	798	0
98258	4596	406
226982	7797	1433
56210	4262	165
16764	6010	38
381338	5077	0
98388	3120	2
100503760	2386	0
433292	1001	0
68833	1706	462
18143	4180	229
114641	1254	57
54610	4440	680
52846	3170	246
100217461	94	10
67702	2434	522
263764	5799	1
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	721
100047133	858	0
16178	1343	25
16177	5035	572
107527	1950	128
17082	6967	2
16182	4781	1984
16174	2487	36
110895	3822	20
226999	3493	48
211798	3152	109
381339	1096	0
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	278
93690	3860	0
73122	5538	480
98404	3457	209
14200	1563	78
666642	647	0
17974	2775	282
100861934	1421	6
78896	888	10
67883	1263	145
100503192	585	60
22019	4649	773
433294	1086	0
75623	1265	96
72050	2324	148
246229	3571	135
22592	4010	233
100861960	766	0
403183	3181	0
70676	2976	70
75066	906	0
12825	5564	1285
12832	6615	168
73674	2612	326
433297	641	208
53945	3380	28
100042453	717	0
212225	3483	1
227058	12318	178
100101919	12384	79
227059	4961	527
442837	542	0
56363	3339	12
442821	2552	0
20324	3055	2664
109019	2838	314
100045066	3051	5
17912	5042	1131
20849	2981	63
100042634	432	2
20846	5356	480
14660	7488	940
17936	5088	723
227094	3394	173
98682	5591	933
16329	1776	131
227095	1704	328
67080	834	15
17700	2682	0
69397	627	0
227099	3032	46
227102	1846	192
72085	2283	114
70396	2362	313
627872	12272	74
98267	3278	302
329152	11336	95
78016	3807	57
98488	3005	145
241062	10579	121
329154	6140	257
81898	6192	4554
67876	1733	971
15510	2332	1218
15528	768	537
19070	2826	542
74013	3677	54
212679	2882	65
75388	1258	4
227120	6555	18
626009	1369	21
329159	1906	0
71066	1408	0
212712	5286	13
329160	3728	3
407809	3304	0
75323	2052	1
73467	3008	56
68736	1442	141
68115	1325	131
67198	4045	110
51960	2733	151
68549	5416	69
11761	4382	4506
71724	4360	9320
71872	4973	3
213043	4776	0
66882	2833	1245
12747	3088	3773
70225	1630	132
65102	2105	151
18393	3371	199
100504455	2126	5
213056	8695	563
66495	532	486
100504501	936	35
108812	1579	6
12633	7814	739
12370	2777	277
70827	6240	411
227154	2318	143
73463	2131	0
381259	1972	142
227157	3087	12
74018	7038	184
271697	1477	0
14369	4809	304
381260	3595	101
22218	1215	529
55989	1976	768
100217459	53	0
100217421	63	0
12168	3507	264
100504533	314	120
72750	5532	502
70375	3650	22
57750	3376	93
241066	2604	51
100504573	431	4
269198	12108	470
77951	1501	144
329165	5974	205
77300	9117	346
100043027	207	2
100042533	791	1
12487	4317	6
100504618	845	0
12477	1931	4
54167	3254	6
77341	892	0
72823	8392	173
18187	8122	77
74992	895	0
227195	13529	766
100380944	1802	22
100504668	1301	5
227197	2927	705
55949	1933	3604
100217464	113	36
241070	1606	0
73884	12621	75
23792	6879	12
241073	2427	2
76668	1711	53
75619	3205	147
74426	1756	1
433315	1432	0
93691	1344	39
12912	8421	696
67099	2666	147
69941	713	4
227210	2927	161
14367	6914	492
241075	8562	219
70861	1353	0
667276	1020	0
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	3
15926	2438	2820
18711	11255	437
213527	2414	0
12969	622	0
17756	5520	185
100038569	1663	0
329178	13533	7
66646	2630	335
68691	4760	420
11363	1892	1202
100862127	515	2
17901	1111	0
14768	4461	540
227231	4704	0
13869	4257	6
100502712	2069	0
22779	9424	361
66722	2270	48
320460	4655	0
12021	5448	14
74591	8323	0
108147	2611	520
14268	8312	800
100042814	1193	4
667931	1019	0
71134	1093	0
433319	483	2
381269	2493	54
111175	1186	61
271711	2815	0
22596	2556	458
381270	4187	83
54380	6715	403
319695	4573	0
19981	588	604
16008	1330	86
16011	5854	1620
21958	427	0
69449	571	0
723792	1560	0
78718	551	0
109198	1801	0
