GeneID	Length	CD24-H-4
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	581
20671	3130	245
27395	4203	221
18777	2433	248
100503730	799	1
21399	2847	147
58175	2241	2
108664	1976	619
18387	4707	0
226304	3692	2
12421	7046	445
620393	858	3
240690	6161	0
319263	5232	327
71096	4193	0
59014	2048	248
76187	3139	342
72481	1246	18
76982	3187	2
17864	3564	6
70675	5179	231
73331	1494	1
170755	5622	70
620986	451	69
240697	2553	1
73824	407	67
266793	74	2
100038398	2646	23
100039596	501	3
69312	1502	104
26754	1240	1038
211660	4354	2040
211673	7042	1389
329093	1930	0
109294	11187	242
320492	8293	489
329096	3200	0
240725	4864	103
240726	8512	1
383491	2593	0
17978	8213	764
72265	2888	945
212442	1889	198
381246	1926	2
433273	1245	0
14048	4345	94
17681	1717	2
277328	4263	0
98741	5309	5
21749	1633	121
226866	2748	5
665434	572	0
75799	717	168
19989	934	2098
98711	2295	232
29819	2890	71
66799	2354	141
67923	955	244
329101	2788	1
70397	1732	210
17087	603	12
57339	4809	15
14545	3938	0
94227	6923	14
83691	4006	3
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	8
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	71
77741	1120	3
74229	4420	192
71877	2208	3164
170829	1409	27
75712	1112	104
14859	1450	1682
241041	1148	52
368204	1950	1
433278	844	0
98582	2247	0
226922	6980	11
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	47
100503399	1522	0
280645	4362	13
98366	2259	260
68002	667	216
68187	6467	324
12839	3888	0
12823	10542	0
68421	5392	1153
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	18
210962	2882	0
623924	306	0
791350	1160	3
213109	7561	1636
19243	4129	272
70988	1094	0
266744	1903	1
74708	1449	1
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	57
67503	889	14
19335	4487	653
213539	1815	605
98403	3650	196
433287	3016	86
320705	2292	1
13518	23242	1182
100628580	79	0
69668	1705	160
27993	2249	317
52318	3559	104
19253	1578	306
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	232
214469	5080	1802
226971	5469	993
50785	3719	1572
320011	9029	1206
214854	2583	397
214855	5699	1296
226976	4663	1683
214895	2225	480
94220	4582	371
94218	5283	339
78321	1954	204
109346	1786	190
20353	3805	284
381337	2577	7
12859	569	424
226977	2077	1636
71166	1127	1
22637	2180	1254
56030	6548	1155
70853	4422	2032
12790	3498	1
269180	6817	755
76178	3862	428
67387	1412	423
269181	7054	519
77633	2755	0
100861893	736	0
72097	4361	2399
100503734	2218	6
211484	3400	1082
623661	1555	91
69028	1229	109
107734	691	272
332427	2564	0
69541	798	0
98258	4596	466
226982	7797	1059
56210	4262	125
16764	6010	107
381338	5077	0
98388	3120	2
100503760	2386	0
433292	1001	0
68833	1706	917
18143	4180	547
114641	1254	54
54610	4440	891
52846	3170	392
100217461	94	6
67702	2434	502
263764	5799	6
619289	2000	2
100042065	359	0
73426	531	0
26921	5974	1367
100047133	858	0
16178	1343	20
16177	5035	1549
107527	1950	179
17082	6967	3
16182	4781	3722
16174	2487	13
110895	3822	3
226999	3493	161
211798	3152	107
381339	1096	0
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	361
93690	3860	1
73122	5538	612
98404	3457	187
14200	1563	292
