GeneID	Length	EpCAM-P-6
497097	3634	1
100503874	3259	0
100038431	1634	0
19888	9747	2
20671	3130	37
27395	4203	188
18777	2433	429
100503730	799	1
21399	2847	199
58175	2241	1
108664	1976	797
18387	4707	0
226304	3692	0
12421	7046	549
620393	858	48
240690	6161	1
319263	5232	707
71096	4193	0
59014	2048	75
76187	3139	61
72481	1246	3
76982	3187	1
17864	3564	9
70675	5179	255
73331	1494	0
170755	5622	80
620986	451	24
240697	2553	0
73824	407	86
266793	74	1
100038398	2646	30
100039596	501	2
69312	1502	0
26754	1240	389
211660	4354	207
211673	7042	1530
329093	1930	0
109294	11187	340
320492	8293	3
329096	3200	0
240725	4864	59
240726	8512	6
383491	2593	0
17978	8213	705
72265	2888	1821
212442	1889	508
381246	1926	0
433273	1245	0
14048	4345	229
17681	1717	4
277328	4263	0
98741	5309	1
21749	1633	119
226866	2748	5
665434	572	0
75799	717	2
19989	934	3970
98711	2295	341
29819	2890	100
66799	2354	285
67923	955	337
329101	2788	0
70397	1732	257
17087	603	31
57339	4809	42
14545	3938	0
94227	6923	38
83691	4006	3
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	16
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	77
77741	1120	7
74229	4420	1432
71877	2208	19
170829	1409	16
75712	1112	42
14859	1450	540
241041	1148	109
368204	1950	1
433278	844	0
98582	2247	0
226922	6980	4
116837	4066	4
66755	1781	0
387225	71	0
723964	84	1
70155	4844	244
100503399	1522	0
280645	4362	32
98366	2259	214
68002	667	124
68187	6467	274
12839	3888	0
12823	10542	0
68421	5392	860
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	26
210962	2882	0
623924	306	0
791350	1160	29
213109	7561	980
19243	4129	741
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	52
67503	889	6
19335	4487	103
213539	1815	96
98403	3650	197
433287	3016	43
320705	2292	0
13518	23242	1676
100628580	79	0
69668	1705	145
27993	2249	212
52318	3559	98
19253	1578	447
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	107
214469	5080	2262
226971	5469	2113
50785	3719	557
320011	9029	1004
214854	2583	74
214855	5699	350
226976	4663	771
214895	2225	369
94220	4582	75
94218	5283	458
78321	1954	83
109346	1786	114
20353	3805	417
381337	2577	264
12859	569	194
226977	2077	1117
71166	1127	2
22637	2180	3
56030	6548	874
70853	4422	10
12790	3498	0
269180	6817	656
76178	3862	675
67387	1412	482
269181	7054	99
77633	2755	3
100861893	736	0
72097	4361	461
100503734	2218	0
211484	3400	31
623661	1555	26
69028	1229	124
107734	691	332
332427	2564	0
69541	798	0
98258	4596	412
226982	7797	743
56210	4262	184
16764	6010	27
381338	5077	1
98388	3120	1
100503760	2386	0
433292	1001	0
68833	1706	484
18143	4180	531
114641	1254	41
54610	4440	1122
52846	3170	222
100217461	94	3
