GeneID	Length	CD24-H-6
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	739
20671	3130	58
27395	4203	171
18777	2433	575
100503730	799	1
21399	2847	272
58175	2241	4
108664	1976	922
18387	4707	0
226304	3692	3
12421	7046	1094
620393	858	7
240690	6161	0
319263	5232	729
71096	4193	0
59014	2048	186
76187	3139	310
72481	1246	15
76982	3187	1
17864	3564	4
70675	5179	457
73331	1494	1
170755	5622	129
620986	451	71
240697	2553	2
73824	407	45
266793	74	2
100038398	2646	45
100039596	501	8
69312	1502	349
26754	1240	1246
211660	4354	2244
211673	7042	2687
329093	1930	0
109294	11187	176
320492	8293	954
329096	3200	0
240725	4864	36
240726	8512	2
383491	2593	1
17978	8213	1085
72265	2888	1466
212442	1889	414
381246	1926	3
433273	1245	1
14048	4345	129
17681	1717	1
277328	4263	0
98741	5309	11
21749	1633	225
226866	2748	4
665434	572	1
75799	717	173
19989	934	1907
98711	2295	272
29819	2890	96
66799	2354	377
67923	955	563
329101	2788	4
70397	1732	283
17087	603	19
57339	4809	13
14545	3938	2
94227	6923	12
83691	4006	1
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	10
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	27
77741	1120	0
74229	4420	219
71877	2208	2933
170829	1409	17
75712	1112	200
14859	1450	1422
241041	1148	25
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	13
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	83
100503399	1522	0
280645	4362	19
98366	2259	316
68002	667	246
68187	6467	529
12839	3888	0
12823	10542	0
68421	5392	1449
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	39
210962	2882	0
623924	306	0
791350	1160	2
213109	7561	1985
19243	4129	582
70988	1094	3
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	45
67503	889	9
19335	4487	707
213539	1815	670
98403	3650	261
433287	3016	89
320705	2292	0
13518	23242	954
100628580	79	0
69668	1705	117
27993	2249	204
52318	3559	106
19253	1578	168
21755	1246	0
12627	1038	1
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	182
214469	5080	1821
226971	5469	998
50785	3719	1393
320011	9029	1222
214854	2583	189
214855	5699	911
226976	4663	1299
214895	2225	425
94220	4582	316
94218	5283	293
78321	1954	168
109346	1786	147
20353	3805	135
381337	2577	4
12859	569	262
226977	2077	1320
71166	1127	0
22637	2180	863
56030	6548	1160
70853	4422	1724
12790	3498	1
269180	6817	827
76178	3862	386
67387	1412	364
269181	7054	721
77633	2755	1
100861893	736	0
72097	4361	2173
100503734	2218	7
211484	3400	1451
623661	1555	65
69028	1229	185
107734	691	227
332427	2564	0
69541	798	0
98258	4596	598
226982	7797	1107
56210	4262	147
16764	6010	37
381338	5077	3
98388	3120	2
100503760	2386	0
433292	1001	0
68833	1706	862
18143	4180	537
114641	1254	34
54610	4440	796
52846	3170	371
100217461	94	1
67702	2434	655
263764	5799	2
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	1036
100047133	858	1
16178	1343	21
16177	5035	1989
107527	1950	153
17082	6967	3
16182	4781	5047
16174	2487	11
110895	3822	4
226999	3493	194
211798	3152	140
381339	1096	0
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	295
93690	3860	0
73122	5538	550
98404	3457	321
14200	1563	316
